,num,title,date,status,stream,area,wg,area2,key words,drafts count
167,2606,Reserved Top Level DNS Names, June 1999 , BEST CURRENT PRACTICE, IETF, int, dnsind,DNS," domain, name, system, private ",14
168,2541,DNS Security Operational Considerations, March 1999 , INFORMATIONAL, IETF, sec, dnssec,DNS," DNS-SOC, domain, name, system, cryptology, resource, records, rrs ",3
169,2540,Detached Domain Name System (DNS) Information, March 1999 , EXPERIMENTAL, IETF, sec, dnssec,DNS," [DNS-INFO|e], security, digital, signatures, authentication ",7
170,2539,Storage of Diffie-Hellman Keys in the Domain Name System (DNS), March 1999 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," [DHK-DNS|p], cryptology, authentication, security, signatures, digital ",4
171,2538,Storing Certificates in the Domain Name System (DNS), March 1999 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," [SC-DNS|p], cryptology, authenticity ",5
172,2537,RSA/MD5 KEYs and SIGs in the Domain Name System (DNS), March 1999 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," message, digest, signatures, cryptology, security ",2
173,2536,DSA KEYs and SIGs in the Domain Name System (DNS), March 1999 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," [--------|p], digital, signature, algorithm, signatures, cryptology ",4
174,2535,Domain Name System Security Extensions, March 1999 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," DNS-SECEXT, dns, authentication ",8
175,2517,Building Directories from DNS: Experiences from WWWSeeker, February 1999 , INFORMATIONAL, Legacy,,,DNS," domain, name, system, internet, world, wide, web ",4
176,2352,A Convention For Using Legal Names as Domain Names, May 1998 , INFORMATIONAL, Legacy,,,DNS, DNS ,0
177,2345,Domain Names and Company Name Retrieval, May 1998 , EXPERIMENTAL, Legacy,,,DNS," [--------|e], URL, mapping, service, whois, dns ",3
178,2308,Negative Caching of DNS Queries (DNS NCACHE), March 1998 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [DNS-NCACHE|p], Domain, Name, System, negative ",10
179,2240,A Legal Basis for Domain Name Allocation, November 1997 , INFORMATIONAL, Legacy,,,DNS, DNS ,1
180,2230,Key Exchange Delegation Record for the DNS, November 1997 , INFORMATIONAL, Legacy,,,DNS," KEYX-DNS, Domain, Name, System, RR, Resource, Record, KX ",1
181,2219,Use of DNS Aliases for Network Services, October 1997 , BEST CURRENT PRACTICE, IETF, app, ids,DNS," domain, name, system, symbolic ",3
182,2182,Selection and Operation of Secondary DNS Servers, July 1997 , BEST CURRENT PRACTICE, IETF, int, dnsind,DNS," Domain, Name, System, delegated, zone ",7
183,2181,Clarifications to the DNS Specification, July 1997 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [DNS-CLAR|p], Domain, Name, System ",9
184,2137,Secure Domain Name System Dynamic Update, April 1997 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," SDNSDU, DNS, digital, signatures, cryptographic ",4
185,2136,Dynamic Updates in the Domain Name System (DNS UPDATE), April 1997 , PROPOSED STANDARD, IETF, int, dnsind,DNS,"[DNS-UPDATE|p], database, opcode, zone ",10
186,2065,Domain Name System Security Extensions, January 1997 , PROPOSED STANDARD, IETF, sec, dnssec,DNS," DNS-SEC, DNS, authentication, encryption ",9
187,2052,A DNS RR for specifying the location of services (DNS SRV), October 1996 , EXPERIMENTAL, Legacy,,,DNS," DNS-SRV, Domain, Name, System ",3
188,1996,A Mechanism for Prompt Notification of Zone Changes (DNS NOTIFY), August 1996 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [DNS-NOTIFY|p], Domain, Name, System ",8
189,1995,Incremental Zone Transfer in DNS, August 1996 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [DNS-IZT|p], Domain, Name, System, IXFR ",7
190,1982,Serial Number Arithmetic, August 1996 , PROPOSED STANDARD, IETF, int, dnsind,DNS," [SNA|p], domain, name, system, DNS ",3
191,1912,Common DNS Operational and Configuration Errors, February 1996 , INFORMATIONAL, Legacy,,,DNS," Domain, Name, System ",1
192,1876,A Means for Expressing Location Information in the Domain Name System, January 1996 , EXPERIMENTAL, Legacy,,,DNS," [DNS-LOC|e], DNS, Resource, Record, (RR), LOC ",2
193,1794,DNS Support for Load Balancing, April 1995 , INFORMATIONAL, IETF, int, dns,DNS," Domain, Name, System ",1
194,1788,ICMP Domain Name Messages, April 1995 , HISTORIC, Legacy,,,DNS," [ICMP-DM|e], Internet, Control, Message, Protocol, DNS, Service ",2
195,1713,Tools for DNS debugging, November 1994 , INFORMATIONAL, Legacy,,,DNS," Domain, Names, System, Host, DNSWalk, DOC, DDT, Checker ",0
196,1712,DNS Encoding of Geographical Location, November 1994 , EXPERIMENTAL, Legacy,,,DNS," [DNS-ENCODE|e], Domain, Names, System, GPOS ",0
197,1706,DNS NSAP Resource Records, October 1994 , INFORMATIONAL, Legacy,,,DNS," DNS-NSAP, Domain, Name, System, ISO, OSI, Address, RR, Record, Resource ",0
198,1664,Using the Internet DNS to Distribute RFC1327 Mail Address Mapping Tables, August 1994 , EXPERIMENTAL, IETF, app, x400ops,DNS," domain, Name, System, X.400, Email ",1
199,1637,DNS NSAP Resource Records, June 1994 , EXPERIMENTAL, Legacy,,,DNS," domain, Name, System, ISO, OSI, Address ",1
200,1612,DNS Resolver MIB Extensions, May 1994 , HISTORIC, IETF, int, dns,DNS," [DNS-R-MIB|h], Domain, Name, System, Management, Information, Base ",1
201,1611,DNS Server MIB Extensions, May 1994 , HISTORIC, IETF, int, dns,DNS," [DNS-S-MIB|h], Domain, Name, System, Management, Information, Base ",1
202,1591,Domain Name System Structure and Delegation, March 1994 , INFORMATIONAL, Legacy,,,DNS," DNS, Policy, Top-Level, TLD ",0
203,1537,Common DNS Data File Configuration Errors, October 1993 , INFORMATIONAL, IETF, int, dns,DNS," Domain, Name, System ",1
204,1536,Common DNS Implementation Errors and Suggested Fixes, October 1993 , INFORMATIONAL, IETF, int, dns,DNS," Domain, Name, System ",2
205,1535,A Security Problem and Proposed Correction With Widely Deployed DNS Software, October 1993 , INFORMATIONAL, Legacy,,,DNS," Domain, Name, System ",0
206,1480,The US Domain, June 1993 , INFORMATIONAL, Legacy,,,DNS," DNS, top-level ",0
207,1464,Using the Domain Name System To Store Arbitrary String Attributes, May 1993 , EXPERIMENTAL, Legacy,,,DNS," [--------|e], DNS, TXT ",1
208,1401,Correspondence between the IAB and DISA on the use of DNS, January 1993 , INFORMATIONAL, Legacy,,,DNS," Domain Name, Milnet ",0
209,1394,Relationship of Telex Answerback Codes to Internet Domains, January 1993 , INFORMATIONAL, Legacy,,,DNS," DNS, Country ",0
210,1386,The US Domain, December 1992 , INFORMATIONAL, Legacy,,,DNS," DNS, top-level ",0
211,1383,An Experiment in DNS Based IP Routing, December 1992 , EXPERIMENTAL, Legacy,,,DNS, [DNS-IP|e] ,0
212,1348,DNS NSAP RRs, July 1992 , EXPERIMENTAL, Legacy,,,DNS," domain names, CLNP, resource records ",0
213,1183,New DNS RR Definitions, October 1990 , EXPERIMENTAL, Legacy,,,DNS, [DNS-RR|e] ,0
214,1101,DNS encoding of network names and other types, April 1989 , UNKNOWN, Legacy,,,DNS,  ,0
215,1035,Domain names - implementation and specification, November 1987 , INTERNET STANDARD, Legacy,,,DNS,"[DOMAIN|s], DNS",0
216,974,Mail routing and the domain system, January 1986 , HISTORIC, Legacy,,,DNS, DNS-MX ,0
